1137,213,1134,192,1234,179,1236,200
1000,232,997,203,1123,191,1126,221
944,237,940,211,983,204,987,231
1084,269,1082,251,1142,246,1144,263
993,272,992,256,1078,253,1079,268
969,273,968,262,988,260,989,271
1040,300,1040,285,1089,285,1089,300
1010,298,1010,286,1034,286,1034,298
1132,304,1094,302,1095,285,1133,287
971,325,950,324,951,313,972,315
972,326,972,315,1025,315,1025,326
1027,329,1027,317,1074,317,1074,329
1078,329,1078,317,1106,317,1106,329
1109,330,1109,318,1178,318,1178,330
1235,333,1176,332,1177,320,1236,321
1046,390,965,387,966,374,1047,378
1108,393,1049,390,1050,377,1108,379
1149,395,1113,393,1114,380,1150,382
1180,397,1152,395,1153,382,1181,383
